Date,200DMA,pct_from_200DMA,Qtr_Returns,dividends
2026-03-16,,,,
2026-03-17,,,,
2026-03-18,,,,
2026-03-19,,,,
2026-03-20,660.36,-1.79,-4.7,1.797
2026-03-23,660.66,-0.8,,
2026-03-24,660.96,-1.18,,
2026-03-25,661.25,-0.67,,
2026-03-26,661.48,-2.48,,
2026-03-27,661.63,-4.16,,
2026-03-30,661.79,-4.51,,
2026-03-31,662.02,-1.76,,
2026-04-01,662.31,-1.07,,
2026-04-02,662.58,-1.02,,
2026-04-06,662.88,-0.6,,
2026-04-07,663.19,-0.6,,
2026-04-08,663.6,1.87,,
2026-04-09,664.0,2.4,,
2026-04-10,664.36,2.27,,
2026-04-13,664.76,3.21,,
2026-04-14,665.17,4.4,,
2026-04-15,665.6,5.16,,
2026-04-16,666.01,5.35,,
2026-04-17,666.48,6.55,,
2026-04-20,666.92,6.27,,
2026-04-21,667.31,5.51,,
2026-04-22,667.76,6.51,,
2026-04-23,668.21,6.02,,
2026-04-24,668.65,6.77,,
2026-04-27,669.1,6.89,,
2026-04-28,669.54,6.3,,
2026-04-29,669.98,6.21,,
2026-04-30,670.46,7.19,,
2026-05-01,670.94,7.41,,
2026-05-04,671.39,6.94,,
2026-05-05,671.87,7.72,,
2026-05-06,672.4,9.14,,
2026-05-07,672.91,8.72,,
2026-05-08,673.43,9.53,,
2026-05-11,673.95,9.7,,
2026-05-12,674.46,9.45,,
2026-05-13,674.98,9.97,,
2026-05-14,675.55,10.75,,
2026-05-15,676.07,9.33,,
2026-05-18,676.6,9.17,,
2026-05-19,677.16,8.35,,
2026-05-20,677.71,9.37,,
2026-05-21,678.29,9.5,,
2026-05-22,678.85,9.84,,
2026-05-26,679.44,10.47,,
2026-05-27,680.01,10.36,,
2026-05-28,680.6,10.87,,
2026-05-29,681.17,11.06,,
2026-06-01,681.74,11.27,,
2026-06-02,682.31,11.32,,
2026-06-03,682.87,10.45,,
2026-06-04,683.42,10.27,,
